cellId,fdn,neighbourCellId,neighbourFdn,rank,distance_m,cosited,bearing_deg,azimuth_diff_deg
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",1,0.0,True,,
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",2,0.0,True,,
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",226,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd226",3,909.1,False,359.6,61.0
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",460,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd460",4,909.1,False,359.6,61.0
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",604,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd604",5,909.1,False,359.6,61.0
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",6,1130.64,False,82.1,143.5
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",7,1130.64,False,82.1,143.5
33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",8,1130.64,False,82.1,143.5
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",1,0.0,True,,
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",2,0.0,True,,
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",226,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd226",3,909.1,False,359.6,59.0
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",460,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd460",4,909.1,False,359.6,59.0
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",604,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd604",5,909.1,False,359.6,59.0
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",6,1130.64,False,82.1,23.5
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",239,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd239",7,1130.64,False,82.1,23.5
31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",518,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd518",8,1130.64,False,82.1,23.5
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",33,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd033",1,0.0,True,,
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",31,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd031",2,0.0,True,,
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",226,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd226",3,909.1,False,359.6,179.0
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",460,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd460",4,909.1,False,359.6,179.0
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",604,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=251,EUtranCellFDD=eutranCellFdd604",5,909.1,False,359.6,179.0
96,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=655,EUtranCellFDD=eutranCellFdd096",224,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=115,EUtranCellFDD=eutranCellFdd224",6,1130.64,False,82.1,96.5
