startTime,endTime,fdn,subNetwork,meContext,managedElement,kpiJobId,siteId,cellId,sector,easting,northing,azimuth,DL_PRB_UTIL_PCT,ACTIVE_RRC_CONN_UES,DL_CELL_THP_MBPS,AVG_CQI,AVG_SINR_DB,AVG_RSRP_DBM
2026-06-28 00:00:00,2026-06-28 00:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,58.19,255.0,241.15,9.39,16.57,-82.17
2026-06-28 00:15:00,2026-06-28 00:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,61.1,257.0,261.9,10.25,18.33,-85.8
2026-06-28 00:30:00,2026-06-28 00:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,57.03,232.0,248.54,10.15,19.13,-80.9
2026-06-28 00:45:00,2026-06-28 01:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,62.89,267.0,270.61,10.49,18.38,-82.73
2026-06-28 01:00:00,2026-06-28 01:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,56.23,236.0,230.25,10.05,19.06,-81.49
2026-06-28 01:15:00,2026-06-28 01:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,56.74,247.0,233.44,9.89,16.79,-83.97
2026-06-28 01:30:00,2026-06-28 01:45:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,50.23,196.0,241.43,10.73,19.09,-84.66
2026-06-28 01:45:00,2026-06-28 02:00:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,50.62,206.0,228.99,11.19,18.37,-82.31
2026-06-28 02:00:00,2026-06-28 02:15:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,46.1,186.0,212.77,10.0,18.44,-82.58
2026-06-28 02:15:00,2026-06-28 02:30:00,"SubNetwork=RootNetwork1,SubNetwork=SubNetwork1,MeContext=meContext01,ManagedElement=1,ENodeBFunction=143,EUtranCellFDD=eutranCellFdd007","SubNetwork=RootNetwork1,SubNetwork=SubNetwork1",meContext01,1,ee3d8b22-e670-40b7-b63d-8f61799131e8,143,7,1,502054.57,6000835.57,262.5,54.26,209.0,239.39,10.81,19.44,-83.38
